xfood;w_bread;w_meat;w_fish;w_milk;w_eggs;w_fat;w_butter;w_oil;p_bread;p_meat;p_fish;p_milk;p_eggs;p_fat;p_butter;p_oil
204.93;0.28941589811155;0.269018689308544;0.09652076318743;0.120870541160396;0.036109891182355;0.059288537549407;0.028204752842434;0.100570926657883;100;100;100;100;100;100;100;100
224.68;0.295709453444899;0.285072102545843;0.096626312978458;0.11398433327399;0.040279508634502;0.048157379384013;0.035027594801496;0.085143314936799;114.8;96.5;106.1;110.9;116.5;83.5;112.9;96.7
296.26;0.285931276581381;0.302909606426787;0.102004995611962;0.107101869979072;0.038277188955647;0.049888611354891;0.033787889016405;0.080098562073854;134.4308;121.783;120.1052;128.9767;138.0525;131.8465;118.7708;103.2756
396.35;0.222000756906774;0.350473066733947;0.117598082502838;0.113838778857071;0.038450864135234;0.053437618266684;0.032824523779488;0.071376308817964;132.9520612;158.683249;155.8965496;165.090176;156.82764;189.1997275;135.1611704;114.119538
426.42;0.218962525209887;0.370034238544158;0.124431311852165;0.120843300032831;0.028516486093523;0.044744617982271;0.033464659256133;0.059002861029032;143.4552740348;163.919796217;166.029825324;180.608652544;136.4400468;149.6569844525;145.0279358392;106.13117034
501.13;0.218107078003712;0.371580228683176;0.117574282122403;0.131223435036817;0.032486580328458;0.031409015624688;0.034861213657135;0.062758166543612;163.825922947742;168.017791122425;173.169107812932;226.302641637632;177.2356207932;118.229017717475;176.644025852146;132.663962925
743.72;0.210939600925079;0.370704028397784;0.116522347119884;0.126579895659657;0.031086968213844;0.038657021459689;0.034112300328081;0.071397837895982;218.37995528934;234.216800824661;207.110252944267;298.266881678399;244.585156694616;219.078369830481;224.691200883929;211.333692939525
788.52;0.230723380510323;0.353687921676051;0.112096078729772;0.132082889463806;0.031755694211941;0.041153046213159;0.041153046213159;0.057347942981789;245.895829655796;261.85438332197;258.887816180333;332.269306189737;253.634807492317;271.438100219966;283.784986716403;187.241651944419
887.81;0.231997837375114;0.347281512936326;0.103659566799203;0.148432660141246;0.03133553350379;0.034613261846566;0.0462824252937;0.056397202104054;276.141016703459;267.09147098841;272.09109480553;421.317480248586;259.975677679625;232.079575688071;365.23127790401;211.583066697194
998.54;0.241692871592525;0.335840326877241;0.098864341939231;0.153874656999219;0.02856170008212;0.029352855168546;0.046497886914896;0.065315360426222;317.562169208978;283.116959247714;289.77701596789;442.804671741264;220.199398994642;199.820514667429;397.371630359563;249.668018702688
1072.07;0.22515320827931;0.347710503978285;0.102008264385721;0.154663408172974;0.031593086272352;0.03201283498279;0.045239583236169;0.061619110692399;311.210925824799;303.218263354302;301.368096606605;441.919062397781;219.538800797658;222.999694368851;398.563745250642;250.666690777499
1124.65;0.22382963588672;0.343048948561775;0.103783399279776;0.160032009958654;0.032534566309519;0.03226781665407;0.045925399013026;0.05857822433646;314.634246008871;297.45711635057;289.614740838948;432.19684302503;209.220477160168;220.323698036425;399.360872741143;247.408023797392
1200.07;0.235502928995809;0.335830409892756;0.100569133467214;0.160898947561392;0.032839751014524;0.030664877882124;0.048105527177581;0.0555884240086;425.070866357985;379.257823346977;397.351424431036;485.789251560134;283.075305597708;289.064691823789;436.102073033328;315.197822317877
1511.57;0.267364395959168;0.312469816151419;0.089258188505991;0.148084442004009;0.039938606878941;0.031119961364674;0.042631171563342;0.069133417572458;614.652472753646;464.590833600047;565.828428389796;607.236564450167;451.222037122746;371.448128993569;563.44387835906;502.425328774696
1593.23;0.270224637999536;0.316972439635206;0.08538001418502;0.153223326198979;0.032782460787206;0.02771727873565;0.045548979117893;0.06815086334051;653.375578537126;487.82037528005;579.408310671151;722.611511695699;407.904721558962;333.931867965219;730.223266353342;549.653309679517
1981.38;0.253439521949348;0.326721779769655;0.091052700642986;0.15907599753707;0.033542278613895;0.029020177855838;0.050005551686199;0.057141991945008;723.286765440599;631.239565612384;582.305352224507;865.688591011448;494.380522529463;522.269441497602;880.64925922213;571.089788757019
2349.15;0.240555094395845;0.341672519847604;0.09098610135581;0.162969584743418;0.037302854223868;0.029823553200094;0.046868016090927;0.049822276142435;825.270199367723;690.576084779948;647.523551673651;947.063318566524;447.414372889164;544.727027481999;968.714185144343;584.795943687187
